date,bank,tipo,buy,sell
2025-08-01,Scotiabank,Dólar (US) Sucursales,58.45,61.3
2025-08-01,Scotiabank,Dólar (US) Canales Digitales*,58.55,61.2
2025-08-01,Banreservas,,59.15,61.15
2025-08-01,Banco Popular,,58.25,61.2
2025-08-01,BHD,,58.5,61.2
2025-08-01,Banco Caribe,,60.2,61.2
2025-08-01,BDI,,60.2,61.2
2025-08-01,Vimenca,,60.2,61.2
2025-08-01,BLH,,60,61.2
2025-08-01,Banesco,,58.7,61.2
2025-08-01,Ademi,,60.2,61.2
2025-08-01,Quezada,,60.75,61.4
2025-08-01,Lafise,,59.2,61.2
2025-08-01,Promerica,,58.949999999999996,61.2
2025-08-01,Santa Cruz,,60.2,61.2
