date,time,entidad,compra,venta
2025-02-28,2025-02-28T13:24:47Z,Capla,62.3,
2025-02-28,2025-02-28T13:24:47Z,Agente de Cambio La Nacional,62,
2025-02-28,2025-02-28T13:24:47Z,Asociación Peravia de Ahorros y Préstamos,61.2,62.25
2025-02-28,2025-02-28T13:24:47Z,Scotiabank Cambio online,60.6,62.349999999999994
2025-02-28,2025-02-28T13:24:47Z,Alaver,61.349999999999994,62.349999999999994
2025-02-28,2025-02-28T13:24:47Z,Banco Lafise,60.849999999999994,62.349999999999994
2025-02-28,2025-02-28T13:24:47Z,Banesco,60.449999999999996,62.349999999999994
2025-02-28,2025-02-28T13:24:47Z,Banco Popular,60.6,62.349999999999994
2025-02-28,2025-02-28T13:24:47Z,Asociación Popular de Ahorros y Préstamos,60.6,62.349999999999994
2025-02-28,2025-02-28T13:24:47Z,Girosol,62,62.4
2025-02-28,2025-02-28T13:24:47Z,Asociación Cibao de Ahorros y Préstamos,61.4,62.4
2025-02-28,2025-02-28T13:24:47Z,Scotiabank,60.449999999999996,62.4
2025-02-28,2025-02-28T13:24:47Z,Asociación La Nacional de Ahorros y Préstamos,61.4,62.4
2025-02-28,2025-02-28T13:24:47Z,Motor Crédito,61.4,62.4
2025-02-28,2025-02-28T13:24:47Z,Bonanza Banco,61.25,62.5
2025-02-28,2025-02-28T13:24:47Z,Gamelin,62,62.6
2025-02-28,2025-02-28T13:24:47Z,Taveras,62.3,62.7
2025-02-28,2025-02-28T13:24:47Z,Moneycorps,62.3,62.730000000000004
2025-02-28,2025-02-28T13:24:47Z,RM,62.349999999999994,62.75
2025-02-28,2025-02-28T13:24:47Z,Cambio Extranjero,62,62.75
2025-02-28,2025-02-28T13:24:47Z,Panora Exchange,62.349999999999994,62.75
2025-02-28,2025-02-28T13:24:47Z,SCT,62.2,62.9
